C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 33000 GC.class_histogram -all
33000:
 num     #instances         #bytes  class name (module)
 294:             2             48  java.util.ServiceLoader$3 (java.base@11.0.19)
 295:             1             48  java.util.concurrent.ConcurrentSkipListMap (java.base@11.0.19)
 296:             2             48  java.util.concurrent.CopyOnWriteArrayList$COWIterator (java.base@11.0.19)
 297:             3             48  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.19)
 298:             1             48  jdk.internal.jimage.ImageHeader (java.base@11.0.19)
 299:             2             48  jdk.internal.jimage.ImageLocation (java.base@11.0.19)
 300:             1             48  jdk.internal.loader.URLClassPath$JarLoader (java.base@11.0.19)
 301:             2             48  jdk.internal.misc.Signal (java.base@11.0.19)
 302:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@11.0.19)
 303:             1             48  jdk.internal.ref.CleanerImpl$WeakCleanableRef (java.base@11.0.19)
 304:             1             48  sun.nio.cs.StreamDecoder (java.base@11.0.19)
 305:             2             48  sun.nio.cs.Surrogate$Parser (java.base@11.0.19)
 306:             3             48  sun.util.resources.LocaleData (java.base@11.0.19)
 307:             1             48  sun.util.resources.TimeZoneNames (java.base@11.0.19)
 308:             1             48  sun.util.resources.TimeZoneNames_en (java.base@11.0.19)
 309:             1             48  sun.util.resources.cldr.TimeZoneNames (java.base@11.0.19)
 310:             1             48  sun.util.resources.cldr.TimeZoneNames_en (java.base@11.0.19)
 311:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@11.0.19)
 312:             1             40  [Ljava.util.stream.StreamOpFlag; (java.base@11.0.19)
 313:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@11.0.19)
 314:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.19)
 315:             1             40  java.lang.ArithmeticException (java.base@11.0.19)
 316:             1             40  java.lang.NullPointerException (java.base@11.0.19)
 317:             1             40  java.lang.Package$VersionInfo (java.base@11.0.19)
 318:             1             40  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.19)
 319:             1             40  java.lang.invoke.DirectMethodHandle$Interface (java.base@11.0.19)
 320:             1             40  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@11.0.19)
 321:             1             40  java.util.ResourceBundle$2 (java.base@11.0.19)
 322:             1             40  jdk.internal.loader.URLClassPath (java.base@11.0.19)
 323:             1             40  jdk.internal.ref.Cleaner (java.base@11.0.19)
 324:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@11.0.19)
 325:             1             40  sun.nio.ch.FileChannelImpl$Unmapper (java.base@11.0.19)
 326:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@11.0.19)
 327:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@11.0.19)
 328:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@11.0.19)
 329:             1             40  sun.nio.cs.US_ASCII$Decoder (java.base@11.0.19)
 330:             1             40  sun.nio.cs.UTF_8$Decoder (java.base@11.0.19)
 331:             1             40  sun.util.resources.Bundles$1 (java.base@11.0.19)
 332:             1             32  [Ljava.lang.OutOfMemoryError; (java.base@11.0.19)
 333:             2             32  [Ljava.lang.StackTraceElement; (java.base@11.0.19)
 334:             1             32  [Ljava.lang.ThreadGroup; (java.base@11.0.19)
 335:             2             32  [Ljava.lang.annotation.Annotation; (java.base@11.0.19)
 336:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@11.0.19)
 337:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@11.0.19)
 338:             1             32  [Ljava.net.Proxy$Type; (java.base@11.0.19)
 339:             1             32  [Ljava.util.stream.StreamShape; (java.base@11.0.19)
 340:             1             32  [Ljdk.internal.module.IllegalAccessLogger$Mode; (java.base@11.0.19)
 341:             1             32  java.io.ByteArrayInputStream (java.base@11.0.19)
 342:             1             32  java.io.RandomAccessFile (java.base@11.0.19)
 343:             1             32  java.io.WinNTFileSystem (java.base@11.0.19)
 344:             2             32  java.lang.Boolean (java.base@11.0.19)
 345:             1             32  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@11.0.19)
 346:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@11.0.19)
 347:             1             32  java.net.InetAddress$InetAddressHolder (java.base@11.0.19)
 348:             1             32  java.net.Socket (java.base@11.0.19)
 349:             2             32  java.nio.ByteOrder (java.base@11.0.19)
 350:             1             32  java.util.ArrayDeque$DeqIterator (java.base@11.0.19)
 351:             2             32  java.util.HashMap$Values (java.base@11.0.19)
 352:             2             32  java.util.IdentityHashMap$KeySet (java.base@11.0.19)
 353:             1             32  java.util.LinkedList (java.base@11.0.19)
 354:             2             32  java.util.ResourceBundle$SingleFormatControl (java.base@11.0.19)
 355:             2             32  java.util.WeakHashMap$KeySet (java.base@11.0.19)
 356:             1             32  java.util.zip.ZipFile$CleanableResource (java.base@11.0.19)
 357:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@11.0.19)
 358:             1             32  jdk.internal.module.IllegalAccessLogger (java.base@11.0.19)
 359:             2             32  jdk.internal.module.ServicesCatalog (java.base@11.0.19)
 360:             1             32  jdk.internal.ref.CleanerImpl (java.base@11.0.19)
 361:             1             32  sun.instrument.InstrumentationImpl (java.instrument@11.0.19)
 362:             2             32  sun.nio.ch.FileDispatcherImpl (java.base@11.0.19)
 363:             1             32  sun.nio.cs.StandardCharsets (java.base@11.0.19)
 364:             1             32  sun.nio.fs.WindowsChannelFactory$Flags (java.base@11.0.19)
 365:             2             32  sun.util.resources.cldr.provider.CLDRLocaleDataMetaInfo (jdk.localedata@11.0.19)
 366:             1             24  [Ljava.io.File$PathStatus; (java.base@11.0.19)
 367:             1             24  [Ljava.nio.file.OpenOption; (java.base@11.0.19)
